"id","pop_est_2015","county_name","state","FIPS","google_county_name","pop_est_2000","pop_est_2001","pop_est_2002","pop_est_2003","pop_est_2004","pop_est_2005","pop_est_2006","pop_est_2007","pop_est_2008","pop_est_2009","pop_est_2010","pop_est_2011","pop_est_2012","pop_est_2013","pop_est_2014"
48269,40700,"Manatí Municipio","Puerto Rico","72091","Centro Municipality",,,,,,,,,,,,,,,
45223,37052,"Independence County","Arkansas","05063","Independence County",34333,34374,34512,34652,34989,35155,35426,35690,35859,36259,36647,36831,36937,36879,37061
45266,21713,"Yell County","Arkansas","05149","Yell County",21147,21145,21147,21197,21074,21141,21556,21633,21935,22145,22185,21939,21809,21797,21916
45308,444769,"Santa Barbara County","California","06083","Santa Barbara County",399990,403164,405178,406810,407284,408079,408085,411243,415859,420356,423895,426131,430873,436248,441228
45351,16067,"Gunnison County","Colorado","08051","Gunnison County",14068,14206,14322,14273,14356,14456,14720,15043,15250,15356,15324,15459,15475,15525,15727
45395,151420,"Tolland County","Connecticut","09013","Tolland County",136863,138934,142362,145195,146706,147657,148954,149718,151583,152330,152691,153069,151934,151722,151597
46150,12808,"Magoffin County","Kentucky","21153","Magoffin County",13321,13195,13285,13287,13297,13302,13258,13316,13233,13335,13333,13208,13023,12911,12946
48280,149028,"Ponce Municipio","Puerto Rico","72113","Arroyo Naranjo",,,,,,,,,,,,,,,
48290,22517,"Santa Isabel Municipio","Puerto Rico","72133","Santa Isabel",,,,,,,,,,,,,,,
45125,353089,"Madison County","Alabama","01089","Madison County",278006,281517,286439,291342,295655,301474,309170,315859,323526,330856,334811,339574,342696,346720,350112
45129,415395,"Mobile County","Alabama","01097","Mobile County",400073,400129,398549,398082,397959,398942,402916,405715,409196,411994,412992,413062,413750,414121,414926
45133,9652,"Perry County","Alabama","01105","Perry County",11809,11645,11549,11301,11153,10881,10677,10774,10722,10690,10591,10510,10180,9993,9855
45137,59660,"Russell County","Alabama","01113","Russell County",49805,49622,49489,49065,49498,49731,50459,51074,51434,52162,52947,54869,57771,59497,59712
45141,80862,"Talladega County","Alabama","01121","Talladega County",80772,80939,81095,80900,81139,81546,81991,82226,82735,82674,82291,81821,81931,81314,81258
45145,16804,"Washington County","Alabama","01129","Washington County",18101,17933,17895,17910,17801,17690,17705,17491,17496,17493,17581,17336,17115,16869,16863
45149,5702,"Aleutians West Census Area","Alaska","02016","Aleutians West",5470,5501,5472,5709,5798,5913,5658,5466,5393,5537,5561,5588,5678,5699,5751
45153,1919,"Denali Borough","Alaska","02068","Denali",1890,1850,1862,1825,1877,1834,1837,1803,1803,1817,1826,1873,1904,1934,1903
45156,2534,"Haines Borough","Alaska","02100","Haines",2399,2334,2325,2337,2281,2280,2300,2379,2404,2486,2508,2569,2570,2563,2566
45081,55347,"Autauga County","Alabama","01001","Autauga County",44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54571,55253,55175,55038,55290
45083,26489,"Barbour County","Alabama","01005","Barbour County",29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27457,27226,27159,26973,26815
45087,20154,"Butler County","Alabama","01013","Butler County",21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20947,20673,20408,20261,20276
45091,43943,"Chilton County","Alabama","01021","Chilton County",39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43643,43739,43697,43795,43921
45095,15018,"Cleburne County","Alabama","01029","Cleburne County",14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,14972,14971,14921,15028,15072
45099,10724,"Coosa County","Alabama","01037","Coosa County",11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11539,11348,11195,11059,10807
45103,49565,"Dale County","Alabama","01045","Dale County",49124,49254,49373,49215,49245,49050,49077,49488,49871,49854,50251,50109,50324,49833,49501
45106,81468,"Elmore County","Alabama","01051","Elmore County",66160,67459,68659,69935,71018,72978,75246,77124,77698,78632,79303,80012,80432,80883,81022
45110,31696,"Franklin County","Alabama","01059","Franklin County",31242,31190,30891,30874,30768,30968,31134,31004,31459,31589,31704,31729,31648,31507,31592
45114,17221,"Henry County","Alabama","01067","Henry County",16341,16358,16447,16563,16692,16752,16953,17108,17129,17243,17302,17407,17249,17206,17176
45118,13886,"Lamar County","Alabama","01075","Lamar County",15923,15632,15446,15258,15075,15009,14816,14901,14799,14689,14564,14292,14252,14187,14050
45121,156993,"Lee County","Alabama","01081","Lee County",115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140247,144087,147899,151506,154426
45161,13889,"Kodiak Island Borough","Alaska","02150","Kodiak Island",13983,13748,13651,13239,13206,13105,13184,13159,13262,13505,13592,13807,14067,14097,14007
45165,9846,"Nome Census Area","Alaska","02180","Nome",9152,9167,9161,9210,9351,9338,9235,9246,9231,9313,9492,9834,9869,9888,9833
45172,6839,"Southeast Fairbanks Census Area","Alaska","02240","Southeast Fairbanks",6177,5705,5672,5772,6022,6530,6817,6945,6904,6955,7029,7144,7181,7004,6978
45175,613,"Yakutat City and Borough","Alaska","02282","Yakutat",796,764,702,673,647,665,642,656,627,665,662,651,653,636,634
45178,126427,"Cochise County","Arizona","04003","Cochise County",118132,118798,119847,120638,123234,125786,127241,128206,129023,130081,131346,132996,131888,129605,127321
45182,9529,"Greenlee County","Arizona","04011","Greenlee County",8547,8349,7831,7567,7549,7595,7838,8205,8561,8635,8437,8589,8768,8908,9323
45183,20152,"La Paz County","Arizona","04012","La Paz County",19611,19580,19464,19722,19979,20379,20573,20647,20555,20514,20489,20479,20351,20377,20314
45186,108277,"Navajo County","Arizona","04017","Navajo County",97689,97849,100123,101529,102774,104184,105624,106927,107626,107571,107449,107429,107033,107424,108119
45190,222255,"Yavapai County","Arizona","04025","Yavapai County",168608,172636,177362,182090,187822,195424,204082,208773,211211,211172,211033,211135,212468,215271,218852
45194,41053,"Baxter County","Arkansas","05005","Baxter County",38446,38331,38506,38772,39334,39992,40867,41491,41519,41561,41513,41273,41066,40965,40842
45267,1638215,"Alameda County","California","06001","Alameda County",1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1510271,1533052,1556952,1583845,1612850
45271,44828,"Calaveras County","California","06009","Calaveras County",40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,45578,45101,44755,44574,44575
45275,184452,"El Dorado County","California","06017","El Dorado County",157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,181058,180905,180579,181480,183050
45278,135727,"Humboldt County","California","06023","Humboldt County",126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,134623,135267,134703,134640,134831
45282,150965,"Kings County","California","06031","Kings County",129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,152982,151969,151201,150748,150108
45286,154998,"Madera County","California","06039","Madera County",123587,125581,128369,132738,137106,140313,143622,146067,148359,149234,150865,152089,152160,152125,154562
45290,268455,"Merced County","California","06047","Merced County",212258,218816,225351,231735,237180,242554,245338,248540,250538,252302,255793,259784,261788,263312,266087
45294,142456,"Napa County","California","06055","Napa County",124565,126818,128744,130138,130387,130381,131440,132583,134093,135280,136484,137998,139055,140413,141551
45297,375391,"Placer County","California","06061","Placer County",251012,263615,276907,290726,302841,312762,321934,329023,337568,343810,348432,356832,361215,366858,371105
45301,58792,"San Benito County","California","06069","San Benito County",53781,54644,55056,55198,54849,54647,54124,54072,54267,54436,55269,56197,56885,57605,58308
45305,726106,"San Joaquin County","California","06077","San Joaquin County",567885,591207,609041,626778,642898,656985,662812,668080,671692,677736,685306,695432,701464,704654,715114
45309,1918044,"Santa Clara County","California","06085","Santa Clara County",1684947,1688082,1669348,1663592,1663167,1675312,1691159,1712026,1740964,1765137,1781642,1814205,1841318,1871140,1896040
45312,2967,"Sierra County","California","06091","Sierra County",3574,3518,3482,3511,3430,3378,3424,3373,3320,3248,3240,3105,3075,3035,2979
45439,18408,"Madison County","Florida","12079","Madison County",18734,18859,18707,18778,19075,19070,19299,19322,19347,19329,19224,19092,18915,18711,18521
45655,15284,"Gooding County","Idaho","16047","Gooding County",14196,14215,14342,14483,14562,14614,14749,14963,15216,15270,15464,15375,15245,15144,15115
45957,12469,"Union County","Iowa","19175","Union County",12281,12240,12163,12004,12085,12143,12225,12319,12447,12527,12534,12570,12604,12608,12626
46001,2591,"Graham County","Kansas","20065","Graham County",2925,2896,2886,2842,2786,2762,2751,2707,2669,2592,2597,2638,2589,2594,2555
46046,63718,"Reno County","Kansas","20155","Reno County",64731,64584,64163,63990,63779,63778,63822,63683,63974,64196,64511,64409,64232,64150,63781
