"id","population","county_name","state","FIPS","google_county_name"
48269,40700,"Manatí Municipio","Puerto Rico","72091","Centro Municipality"
45125,353089,"Madison County","Alabama","01089","Madison County"
45129,415395,"Mobile County","Alabama","01097","Mobile County"
45133,9652,"Perry County","Alabama","01105","Perry County"
45137,59660,"Russell County","Alabama","01113","Russell County"
45141,80862,"Talladega County","Alabama","01121","Talladega County"
45145,16804,"Washington County","Alabama","01129","Washington County"
45149,5702,"Aleutians West Census Area","Alaska","02016","Aleutians West"
45153,1919,"Denali Borough","Alaska","02068","Denali"
45156,2534,"Haines Borough","Alaska","02100","Haines"
45161,13889,"Kodiak Island Borough","Alaska","02150","Kodiak Island"
45165,9846,"Nome Census Area","Alaska","02180","Nome"
45172,6839,"Southeast Fairbanks Census Area","Alaska","02240","Southeast Fairbanks"
48280,149028,"Ponce Municipio","Puerto Rico","72113","Arroyo Naranjo"
48290,22517,"Santa Isabel Municipio","Puerto Rico","72133","Santa Isabel"
45081,55347,"Autauga County","Alabama","01001","Autauga County"
45183,20152,"La Paz County","Arizona","04012","La Paz County"
45223,37052,"Independence County","Arkansas","05063","Independence County"
45266,21713,"Yell County","Arkansas","05149","Yell County"
45308,444769,"Santa Barbara County","California","06083","Santa Barbara County"
45351,16067,"Gunnison County","Colorado","08051","Gunnison County"
45395,151420,"Tolland County","Connecticut","09013","Tolland County"
46150,12808,"Magoffin County","Kentucky","21153","Magoffin County"
45083,26489,"Barbour County","Alabama","01005","Barbour County"
45087,20154,"Butler County","Alabama","01013","Butler County"
45091,43943,"Chilton County","Alabama","01021","Chilton County"
45095,15018,"Cleburne County","Alabama","01029","Cleburne County"
45099,10724,"Coosa County","Alabama","01037","Coosa County"
45103,49565,"Dale County","Alabama","01045","Dale County"
45106,81468,"Elmore County","Alabama","01051","Elmore County"
45110,31696,"Franklin County","Alabama","01059","Franklin County"
45114,17221,"Henry County","Alabama","01067","Henry County"
45118,13886,"Lamar County","Alabama","01075","Lamar County"
45121,156993,"Lee County","Alabama","01081","Lee County"
45175,613,"Yakutat City and Borough","Alaska","02282","Yakutat"
45178,126427,"Cochise County","Arizona","04003","Cochise County"
45182,9529,"Greenlee County","Arizona","04011","Greenlee County"
45186,108277,"Navajo County","Arizona","04017","Navajo County"
45190,222255,"Yavapai County","Arizona","04025","Yavapai County"
45194,41053,"Baxter County","Arkansas","05005","Baxter County"
45439,18408,"Madison County","Florida","12079","Madison County"
45655,15284,"Gooding County","Idaho","16047","Gooding County"
45957,12469,"Union County","Iowa","19175","Union County"
46001,2591,"Graham County","Kansas","20065","Graham County"
46046,63718,"Reno County","Kansas","20155","Reno County"
45205,24114,"Columbia County","Arkansas","05027","Columbia County"
45209,48963,"Crittenden County","Arkansas","05035","Crittenden County"
45212,11965,"Desha County","Arkansas","05041","Desha County"
45216,12204,"Fulton County","Arkansas","05049","Fulton County"
45220,22084,"Hempstead County","Arkansas","05057","Hempstead County"
45224,13445,"Izard County","Arkansas","05065","Izard County"
45228,6996,"Lafayette County","Arkansas","05073","Lafayette County"
45232,12472,"Little River County","Arkansas","05081","Little River County"
45236,16185,"Marion County","Arkansas","05089","Marion County"
45240,8970,"Montgomery County","Arkansas","05097","Montgomery County"
45244,10189,"Perry County","Arkansas","05105","Perry County"
45248,20216,"Polk County","Arkansas","05113","Polk County"
45251,392664,"Pulaski County","Arkansas","05119","Pulaski County"
45255,10513,"Scott County","Arkansas","05127","Scott County"
45259,16912,"Sharp County","Arkansas","05135","Sharp County"
45263,225477,"Washington County","Arkansas","05143","Washington County"
45267,1638215,"Alameda County","California","06001","Alameda County"
45271,44828,"Calaveras County","California","06009","Calaveras County"
45275,184452,"El Dorado County","California","06017","El Dorado County"
45278,135727,"Humboldt County","California","06023","Humboldt County"
45282,150965,"Kings County","California","06031","Kings County"
45286,154998,"Madera County","California","06039","Madera County"
