State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
AR,14TH JUDICIAL DIST DTF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,14TH JUDICIAL DIST DTF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,14TH JUDICIAL DIST DTF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,14TH JUDICIAL DIST DTF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,14TH JUDICIAL DIST DTF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,14TH JUDICIAL DIST DTF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,14TH JUDICIAL DIST DTF,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 16, 2011 12:00:00 AM"
AR,ALMA POLICE DEPT,5855-00-156-4992,NIGHT VISION SIGHT ,1,Each,$800.00,F,1,"Jul 30, 1998 12:00:00 AM"
AR,ALMA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,ALMA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 30, 2006 12:00:00 AM"
AR,ALMA POLICE DEPT,5855-00-156-4992,NIGHT VISION SIGHT ,1,Each,$800.00,F,1,"Jul 30, 1998 12:00:00 AM"
AR,AR DEPT OF CORRECTION PINE BLUFF HQ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 12, 2006 12:00:00 AM"
AR,AR DEPT OF CORRECTION PINE BLUFF HQ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 12, 2006 12:00:00 AM"
AR,AR DEPT OF CORRECTION PINE BLUFF HQ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Oct 12, 2006 12:00:00 AM"
