State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
CT,ANSONIA POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$56,762.00",C,1,"Apr 4, 2012 12:00:00 AM"
CT,ANSONIA POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",2,Each,$365.00,D,1,"Jul 13, 2012 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$11.84,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,6240-01-532-4184,"LAMP,INCANDESCENT",1,Each,$340.25,D,1,"Mar 18, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1095-00-407-0674,"RACK,STORAGE,SMALL ARMS",2,Each,$460.32,A,1,"Jul 29, 2015 12:00:00 AM"
CT,BEACON FALLS POLICE,1095-00-407-0674,"RACK,STORAGE,SMALL ARMS",1,Each,$460.32,A,1,"Jul 29, 2015 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$58.97,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$58.97,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$58.97,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$58.97,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$58.97,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$58.97,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",9,Each,$58.97,D,1,"Sep 3, 2015 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$11.84,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$11.84,D,1,"May 15, 2013 12:00:00 AM"
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$11.84,D,1,"May 15, 2013 12:00:00 AM"
