State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",15,Each,$365.00,D,1,"Mar 24, 2014 12:00:00 AM"
MD,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,5180-00-357-7770,"TOOL KIT,REPAIRMANS,SMALL ARMS",1,Kit,"$2,130.00",A,1,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",2,Set,"$1,939.00",A,1,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,6530-01-425-1989,"EXERCISER,TREADMILL",1,Each,"$6,581.45",A,1,"Nov 5, 2014 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,7110-01-550-6167,SAFE,1,Each,$100.00,A,1,"Nov 5, 2014 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,6650-DS-OPT-ICIN,OPTICAL INSTRUMENTS,1,Each,$100.00,D,,"Nov 5, 2014 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,5180-01-559-5981,"TOOL KIT,SMALL ARMS",2,Kit,"$2,343.00",A,1,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,5855-01-523-7715,"SIGHT,THERMAL",1,Each,"$10,508.00",D,1,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,1680-00-973-1862,"SURVIVAL KIT,INDIVIDUAL",8,Each,"$1,035.92",F,1,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,6350-01-497-7107,"SECURITY INSPECTION UNIT,X-RAY",1,Each,$0.00,A,1,"Apr 17, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,6510-01-506-4604,"DRESSING,PRESSURE PAD",50,Each,$5.37,A,1,"Nov 5, 2014 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,8465-01-629-2655,"MAT,SLEEPING",30,Each,$0.00,A,1,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,6350-01-312-4496,"SENSOR,OPAQUE PARTICLE",1,Each,$532.13,A,1,"Apr 24, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,"$1,187.00",Q,3,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,6530-01-490-2487,SPINEBOARD,4,Each,$316.06,A,1,"Apr 29, 2015 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,6760-01-491-2060,"CASE,PHOTOGRAPHIC EQUIPMENT",5,Each,$65.85,A,1,"Oct 30, 2014 12:00:00 AM"
MD,ALLEGANY COUNTY SHERIFF DEPT,7830-DS-CRO-SSTR,CROSS TRAINER,1,Each,"$1,550.00",A,,"Nov 5, 2014 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 13, 2009 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 5, 2006 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,$365.00,D,1,"Mar 24, 2014 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 13, 2009 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 13, 2009 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 13, 2009 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 13, 2009 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 13, 2009 12:00:00 AM"
MD,ANNAPOLIS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 14, 2006 12:00:00 AM"
MD,ANNE ARUNDEL COUNTY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 14, 2006 12:00:00 AM"
