State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
NM,ALAMOGORDO DEPT OF PUBLIC SAFETY,2320-01-107-7153,"TRUCK,UTILITY",1,Each,"$63,894.00",C,1,"Jul 12, 2013 12:00:00 AM"
NM,ALAMOGORDO DEPT OF PUBLIC SAFETY,1385-01-574-4707,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,Each,"$10,000.00",D,1,"Feb 6, 2014 12:00:00 AM"
NM,ALAMOGORDO DEPT OF PUBLIC SAFETY,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00",C,1,"Oct 15, 2013 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,5410-DS-BUI-LDIN,PREFABRICATED AND PORTABLE BUILDINGS,1,Each,"$646,832.50",A,,"May 11, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,5410-DS-BUI-LDIN,PREFABRICATED AND PORTABLE BUILDINGS,1,Each,"$195,000.00",A,,"May 11, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,8115-00-168-2275,"CONTAINER,CARGO",1,Each,"$1,324.00",A,1,"Mar 31, 2016 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",23,Each,$365.00,D,1,"Sep 23, 2014 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",39,Each,$365.00,D,1,"Jul 14, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",19,Each,$365.00,D,1,"Jul 28, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,7310-01-452-0937,STOVE KIT SURVIVAL ,16,Kit,$176.28,A,1,"Jan 27, 2016 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 14, 2012 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2330-00-697-8102,"TRAILER,BASIC UTILITY",1,Each,"$1,186.00",A,1,"Aug 25, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$56,762.00",C,1,"Apr 6, 2012 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"May 29, 1996 12:00:00 AM"
