State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
TN,ADAMSVILLE POLICE DEPARTMENT,5110-00-293-2336,"AX,SINGLE BIT",2,Each,$41.29,A,1,"Mar 14, 2016 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4320-01-307-0538,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",1,Each,"$2,077.00",A,1,"Jul 1, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,"$56,487.18",A,1,"Jul 30, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4010-00-983-7570,"CHAIN ASSEMBLY,SINGLE LEG",3,Each,$65.70,A,,"Feb 6, 2016 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,1,Each,$0.00,D,,"Dec 23, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,1,Each,$0.00,D,,"Dec 23, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4310-DS-COM-PRE1,"COMPRESSOR, AIR",1,Each,"$4,209.68",A,,"Aug 12, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,6625-01-139-2512,MULTIMETER,2,Each,$312.02,A,1,"Aug 6, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-472-6918,"OVERALLS,COLD WEATHER",4,Each,$43.22,A,1,"Dec 17, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5935-01-496-3278,"MAINTENANCE KIT,ELECTRICAL CON",1,Each,$132.90,A,,"Sep 29, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-567-4020,"DRAWERS,COLD WEATHER",1,Pair,$13.99,A,1,"Dec 30, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2420-01-160-2754,"TRACTOR,WHEELED,INDUSTRIAL",1,Each,"$110,000.00",A,1,"Jul 16, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4240-01-583-5206,"SPECTACLES,INDUSTRIAL",5,Each,$49.10,A,1,"Dec 30, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5180-01-517-6129,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Set,"$5,650.00",A,1,"Jul 7, 2015 12:00:00 AM"
